"Step","exp_iid - test/acc","exp_iid - test/acc__MIN","exp_iid - test/acc__MAX"
"404","0.9872","0.9872","0.9872"
"405","0.9881","0.9881","0.9881"
"406","0.9871","0.9871","0.9871"
"407","0.9881","0.9881","0.9881"
"408","0.9877","0.9877","0.9877"
"409","0.988","0.988","0.988"
"410","0.988","0.988","0.988"
"411","0.9868","0.9868","0.9868"
"412","0.9875","0.9875","0.9875"
"413","0.9859","0.9859","0.9859"
"414","0.986","0.986","0.986"
"415","0.985","0.985","0.985"
"416","0.9877","0.9877","0.9877"
"417","0.9869","0.9869","0.9869"
"418","0.9864","0.9864","0.9864"
"419","0.986","0.986","0.986"
"420","0.9862","0.9862","0.9862"
"421","0.9868","0.9868","0.9868"
"422","0.986","0.986","0.986"
"423","0.9868","0.9868","0.9868"
"424","0.9869","0.9869","0.9869"
"425","0.987","0.987","0.987"
"426","0.9879","0.9879","0.9879"
"427","0.987","0.987","0.987"
"428","0.9864","0.9864","0.9864"
"429","0.9871","0.9871","0.9871"
"430","0.9866","0.9866","0.9866"
"431","0.9881","0.9881","0.9881"
"432","0.9875","0.9875","0.9875"
"433","0.9871","0.9871","0.9871"
"434","0.9868","0.9868","0.9868"
"435","0.9875","0.9875","0.9875"
"436","0.9865","0.9865","0.9865"
"437","0.9867","0.9867","0.9867"
"438","0.987","0.987","0.987"
"439","0.9879","0.9879","0.9879"
"440","0.9873","0.9873","0.9873"
"441","0.9879","0.9879","0.9879"
"442","0.9872","0.9872","0.9872"
"443","0.9868","0.9868","0.9868"
"444","0.9874","0.9874","0.9874"
"445","0.988","0.988","0.988"
"446","0.9877","0.9877","0.9877"
"447","0.9874","0.9874","0.9874"
"448","0.9872","0.9872","0.9872"
"449","0.988","0.988","0.988"
"450","0.9883","0.9883","0.9883"
"451","0.9868","0.9868","0.9868"
"452","0.9872","0.9872","0.9872"
"453","0.9878","0.9878","0.9878"
"454","0.9882","0.9882","0.9882"
"455","0.9885","0.9885","0.9885"
"456","0.9879","0.9879","0.9879"
"457","0.9875","0.9875","0.9875"
"458","0.9873","0.9873","0.9873"
"459","0.9876","0.9876","0.9876"
"460","0.9871","0.9871","0.9871"
"461","0.9877","0.9877","0.9877"
"462","0.988","0.988","0.988"
