"Step","non_iid - test/acc","non_iid - test/acc__MIN","non_iid - test/acc__MAX"
"746","0.9869","0.9869","0.9869"
"747","0.9856","0.9856","0.9856"
"748","0.9876","0.9876","0.9876"
"749","0.9891","0.9891","0.9891"
"750","0.9882","0.9882","0.9882"
"751","0.9871","0.9871","0.9871"
"752","0.988","0.988","0.988"
"753","0.9868","0.9868","0.9868"
"754","0.9868","0.9868","0.9868"
"755","0.9862","0.9862","0.9862"
"756","0.9889","0.9889","0.9889"
"757","0.9892","0.9892","0.9892"
"758","0.9884","0.9884","0.9884"
"759","0.9889","0.9889","0.9889"
"760","0.988","0.988","0.988"
"761","0.9854","0.9854","0.9854"
"762","0.9882","0.9882","0.9882"
"763","0.9886","0.9886","0.9886"
"764","0.9884","0.9884","0.9884"
"765","0.9879","0.9879","0.9879"
"766","0.9885","0.9885","0.9885"
"767","0.9879","0.9879","0.9879"
"768","0.9876","0.9876","0.9876"
"769","0.9876","0.9876","0.9876"
"770","0.9894","0.9894","0.9894"
"771","0.9885","0.9885","0.9885"
"772","0.9888","0.9888","0.9888"
"773","0.9862","0.9862","0.9862"
"774","0.9892","0.9892","0.9892"
"775","0.9879","0.9879","0.9879"
"776","0.9875","0.9875","0.9875"
"777","0.9879","0.9879","0.9879"
"778","0.9862","0.9862","0.9862"
"779","0.9869","0.9869","0.9869"
"780","0.9868","0.9868","0.9868"
"781","0.9889","0.9889","0.9889"
"782","0.986","0.986","0.986"
"783","0.9886","0.9886","0.9886"
"784","0.9875","0.9875","0.9875"
"785","0.9886","0.9886","0.9886"
"786","0.9887","0.9887","0.9887"
"787","0.9885","0.9885","0.9885"
"788","0.9872","0.9872","0.9872"
"789","0.9872","0.9872","0.9872"
"790","0.9877","0.9877","0.9877"
"791","0.9886","0.9886","0.9886"
"792","0.9869","0.9869","0.9869"
"793","0.9869","0.9869","0.9869"
"794","0.9866","0.9866","0.9866"
"795","0.9864","0.9864","0.9864"
"796","0.9856","0.9856","0.9856"
"797","0.9871","0.9871","0.9871"
"798","0.9892","0.9892","0.9892"
"799","0.9866","0.9866","0.9866"
"800","0.9859","0.9859","0.9859"
"801","0.9879","0.9879","0.9879"
"802","0.9891","0.9891","0.9891"
"803","0.989","0.989","0.989"
"804","0.9891","0.9891","0.9891"
"805","0.9895","0.9895","0.9895"
"806","0.9887","0.9887","0.9887"
"807","0.9897","0.9897","0.9897"
"808","0.9888","0.9888","0.9888"
"809","0.9885","0.9885","0.9885"
"810","0.9879","0.9879","0.9879"
"811","0.9847","0.9847","0.9847"
"812","0.9883","0.9883","0.9883"
"813","0.9882","0.9882","0.9882"
"814","0.9878","0.9878","0.9878"
"815","0.989","0.989","0.989"
"816","0.9882","0.9882","0.9882"
"817","0.9881","0.9881","0.9881"
"818","0.9889","0.9889","0.9889"
"819","0.989","0.989","0.989"
"820","0.9898","0.9898","0.9898"
"821","0.9887","0.9887","0.9887"
"822","0.9891","0.9891","0.9891"
"823","0.9883","0.9883","0.9883"
"824","0.9897","0.9897","0.9897"
"825","0.988","0.988","0.988"
"826","0.9893","0.9893","0.9893"
"827","0.9881","0.9881","0.9881"
"828","0.9885","0.9885","0.9885"
"829","0.9891","0.9891","0.9891"
"830","0.9877","0.9877","0.9877"
"831","0.9888","0.9888","0.9888"
"832","0.9891","0.9891","0.9891"
"833","0.9875","0.9875","0.9875"
"834","0.9884","0.9884","0.9884"
"835","0.9859","0.9859","0.9859"
"836","0.9879","0.9879","0.9879"
"837","0.9882","0.9882","0.9882"
"838","0.9875","0.9875","0.9875"
"839","0.9879","0.9879","0.9879"
"840","0.989","0.989","0.989"
"841","0.9877","0.9877","0.9877"
"842","0.989","0.989","0.989"
"843","0.9893","0.9893","0.9893"
"844","0.9879","0.9879","0.9879"
"845","0.986","0.986","0.986"
"846","0.988","0.988","0.988"
"847","0.989","0.989","0.989"
"848","0.9891","0.9891","0.9891"
"849","0.9889","0.9889","0.9889"
"850","0.9877","0.9877","0.9877"
"851","0.9878","0.9878","0.9878"
"852","0.9895","0.9895","0.9895"
"853","0.988","0.988","0.988"
"854","0.9883","0.9883","0.9883"
"855","0.9881","0.9881","0.9881"
"856","0.987","0.987","0.987"
"857","0.9875","0.9875","0.9875"
"858","0.9889","0.9889","0.9889"
"859","0.9887","0.9887","0.9887"
"860","0.9875","0.9875","0.9875"
"861","0.9891","0.9891","0.9891"
"862","0.9891","0.9891","0.9891"
"863","0.9877","0.9877","0.9877"
"864","0.9892","0.9892","0.9892"
"865","0.9879","0.9879","0.9879"
"866","0.9877","0.9877","0.9877"
"867","0.9883","0.9883","0.9883"
"868","0.9886","0.9886","0.9886"
"869","0.9891","0.9891","0.9891"
"870","0.9877","0.9877","0.9877"
"871","0.9895","0.9895","0.9895"
"872","0.9891","0.9891","0.9891"
"873","0.9875","0.9875","0.9875"
"874","0.9878","0.9878","0.9878"
"875","0.9899","0.9899","0.9899"
"876","0.988","0.988","0.988"
"877","0.9889","0.9889","0.9889"
"878","0.9896","0.9896","0.9896"
"879","0.9884","0.9884","0.9884"
"880","0.9883","0.9883","0.9883"
"881","0.9887","0.9887","0.9887"
"882","0.9881","0.9881","0.9881"
"883","0.9876","0.9876","0.9876"
"884","0.9888","0.9888","0.9888"
"885","0.988","0.988","0.988"
"886","0.9879","0.9879","0.9879"
"887","0.9891","0.9891","0.9891"
"888","0.989","0.989","0.989"
"889","0.9883","0.9883","0.9883"
"890","0.9884","0.9884","0.9884"
"891","0.9881","0.9881","0.9881"
"892","0.9879","0.9879","0.9879"
"893","0.9881","0.9881","0.9881"
"894","0.9879","0.9879","0.9879"
"895","0.9884","0.9884","0.9884"
"896","0.9865","0.9865","0.9865"
"897","0.9879","0.9879","0.9879"
"898","0.9879","0.9879","0.9879"
"899","0.9887","0.9887","0.9887"
"900","0.9884","0.9884","0.9884"
"901","0.9878","0.9878","0.9878"
"902","0.9879","0.9879","0.9879"
"903","0.989","0.989","0.989"
"904","0.9881","0.9881","0.9881"
"905","0.9883","0.9883","0.9883"
"906","0.9877","0.9877","0.9877"
"907","0.9883","0.9883","0.9883"
"908","0.9888","0.9888","0.9888"
"909","0.9873","0.9873","0.9873"
"910","0.9892","0.9892","0.9892"
"911","0.9884","0.9884","0.9884"
"912","0.9882","0.9882","0.9882"
"913","0.988","0.988","0.988"
"914","0.9887","0.9887","0.9887"
"915","0.9888","0.9888","0.9888"
"916","0.9874","0.9874","0.9874"
"917","0.9879","0.9879","0.9879"
"918","0.9865","0.9865","0.9865"
"919","0.9883","0.9883","0.9883"
"920","0.986","0.986","0.986"
"921","0.9864","0.9864","0.9864"
"922","0.9877","0.9877","0.9877"
"923","0.9884","0.9884","0.9884"
"924","0.9855","0.9855","0.9855"
"925","0.986","0.986","0.986"
"926","0.9868","0.9868","0.9868"
"927","0.9883","0.9883","0.9883"
"928","0.9877","0.9877","0.9877"
"929","0.989","0.989","0.989"
"930","0.9881","0.9881","0.9881"
"931","0.9891","0.9891","0.9891"
"932","0.9889","0.9889","0.9889"
"933","0.9894","0.9894","0.9894"
"934","0.9896","0.9896","0.9896"
"935","0.9894","0.9894","0.9894"
"936","0.9887","0.9887","0.9887"
"937","0.9895","0.9895","0.9895"
"938","0.9891","0.9891","0.9891"
"939","0.9855","0.9855","0.9855"
"940","0.9896","0.9896","0.9896"
"941","0.9892","0.9892","0.9892"
"942","0.9886","0.9886","0.9886"
"943","0.9887","0.9887","0.9887"
"944","0.9889","0.9889","0.9889"
"945","0.9897","0.9897","0.9897"
"946","0.9882","0.9882","0.9882"
"947","0.9892","0.9892","0.9892"
"948","0.9887","0.9887","0.9887"
"949","0.99","0.99","0.99"
